ASN,domains
216131,5946
48018,5943
209693,5942
43108,5942
7065,5941
210772,5941
205948,5936
31383,5922
62160,5905
198953,5887
60602,5875
210390,5872
215703,5872
4758,5868
25248,5862
56430,5853
204548,5850
35326,5843
214822,5841
6315,5834
2510,5828
63139,5828
273612,5825
48851,5817
22489,5813
963,5793
151185,5783
132692,5782
29518,5766
216471,5763
30722,5762
135444,5756
26666,5749
41745,5747
133955,5746
24296,5739
207728,5731
203148,5717
197746,5714
198171,5707
30742,5706
24445,5705
262448,5704
203363,5702
197690,5701
55359,5689
59796,5688
214351,5679
214319,5678
11426,5664
16637,5652
150452,5650
10297,5646
394277,5640
57844,5639
20649,5635
136107,5622
8469,5603
204997,5602
26619,5601
60721,5600
29423,5596
14744,5594
49855,5593
15623,5582
6878,5577
25291,5576
34779,5570
15987,5567
202425,5557
6830,5555
58087,5548
13446,5542
33724,5539
44984,5529
62000,5526
135682,5514
134768,5512
15401,5512
12302,5510
5538,5503
6698,5503
714,5489
38638,5479
204251,5479
18678,5473
58540,5414
209711,5406
12735,5403
202422,5403
199325,5395
5398,5391
49879,5386
62005,5385
10013,5384
15440,5379
17494,5372
25513,5372
197450,5370
54623,5368
24541,5365
55388,5340
268581,5339
5713,5335
3216,5332
9790,5327
7819,5326
203560,5317
6233,5313
137699,5311
17878,5305
56150,5300
32413,5283
199669,5270
199608,5265
140068,5262
29140,5257
47674,5256
28685,5255
47317,5244
57814,5243
42927,5240
39912,5238
13039,5234
15435,5234
25446,5232
4739,5231
31052,5230
64114,5223
264254,5222
3262,5221
48918,5216
46549,5215
208677,5214
214143,5208
9008,5202
17816,5197
200088,5191
44803,5190
6758,5187
138997,5177
51790,5169
142036,5165
151967,5157
49434,5155
12611,5154
14955,5151
52008,5148
38930,5146
41722,5143
208898,5140
154054,5133
15826,5126
31244,5124
56046,5115
210218,5108
199644,5106
133950,5104
53334,5099
553,5092
49468,5091
199081,5071
38631,5071
207459,5071
41960,5063
53154,5063
45652,5061
30943,5035
58683,5029
62838,5028
4755,5026
14280,5019
28220,5019
35667,5009
37705,5004
12880,5003
33968,5002
42220,4997
33333,4993
16003,4992
35787,4985
13438,4985
131626,4973
201634,4958
49334,4957
20849,4951
21130,4939
214025,4929
11377,4928
34665,4913
44388,4912
138571,4912
13354,4902
58909,4901
21473,4898
210226,4895
207027,4886
8402,4876
62864,4866
399979,4864
41628,4861
394727,4856
7258,4855
15704,4853
22549,4853
64126,4851
12975,4851
134176,4851
132827,4850
4515,4850
9022,4846
141120,4845
7226,4826
21413,4825
42557,4824
44700,4823
10036,4820
29624,4818
204167,4816
24482,4814
28889,4808
204038,4802
201942,4795
36114,4794
41980,4766
31424,4766
56630,4764
8339,4760
2828,4760
151609,4758
5603,4757
205111,4751
559,4748
9293,4741
59623,4736
203318,4735
59684,4735
20207,4730
264617,4719
8001,4717
39642,4713
213183,4711
264077,4704
60460,4704
53676,4697
214790,4695
21777,4689
12578,4683
53264,4670
16186,4669
30455,4662
58397,4657
17858,4652
20686,4651
395111,4634
8781,4629
24586,4624
8495,4621
52270,4616
8866,4610
13285,4609
14576,4606
23816,4599
9530,4596
8100,4588
210538,4578
393886,4567
6389,4563
268624,4558
47869,4556
20055,4553
976,4551
6429,4549
34920,4537
151592,4537
207190,4535
9290,4535
135437,4530
44574,4522
51177,4521
201401,4517
200514,4514
19324,4505
27323,4503
46433,4501
15943,4500
15450,4498
197731,4485
61493,4484
201928,4482
984,4482
18207,4479
3175,4470
5626,4468
46973,4463
39238,4460
137263,4456
203201,4455
47721,4450
42346,4446
44076,4446
29611,4442
8849,4440
8839,4436
13046,4427
42184,4417
149580,4414
133774,4411
40438,4409
204884,4408
270179,4406
9141,4402
48684,4393
34224,4392
48825,4391
203639,4390
58563,4389
213035,4387
14492,4386
20836,4380
56643,4371
206238,4367
12406,4365
8968,4361
8218,4360
7540,4360
50178,4359
55002,4356
35236,4355
10733,4355
40395,4353
212506,4350
205930,4333
7713,4328
216395,4322
61998,4321
34941,4311
44335,4310
212660,4296
60175,4292
35042,4265
200851,4262
40738,4258
13820,4253
33561,4246
18222,4242
57610,4241
9498,4239
22860,4236
266660,4225
396904,4215
201848,4207
14567,4200
42610,4198
62763,4197
24572,4195
136209,4183
38424,4181
27176,4181
41174,4174
139571,4170
47541,4164
12390,4162
8764,4159
8820,4153
39227,4152
50837,4144
62425,4139
13378,4138
48988,4137
19648,4131
203315,4130
198352,4128
26101,4123
141968,4114
56005,4111
55201,4110
133694,4109
268685,4099
139580,4095
140825,4088
398395,4086
9889,4086
200435,4084
140810,4081
61303,4080
3170,4075
5505,4072
58543,4069
28604,4063
13182,4062
46805,4058
766,4051
28343,4046
15735,4042
63997,4033
207668,4032
34758,4028
207957,4028
57533,4026
13535,4021
47720,4020
8717,4017
34555,4015
396509,4005
395532,4005
39756,4005
139070,4003
31736,3996
7643,3994
11342,3993
212069,3985
15743,3977
12353,3976
16557,3976
60717,3973
47516,3971
54044,3967
204983,3966
21260,3966
28099,3964
46636,3961
50446,3957
12371,3955
60558,3951
24757,3947
400304,3946
50372,3942
136246,3941
33055,3939
8990,3938
43758,3929
59431,3924
399646,3921
2527,3919
397181,3916
44565,3906
59895,3902
47217,3901
4851,3899
